"Severity","ThreadID","Date","Time","Application","Message"
"Information","main","12/12/24","20:28:56","","/opt/coldfusion/cfusion/logs/eventgateway.log initialized"
"Information","main","12/12/24","20:28:56","","Event Gateway Disabled."
"Information","main","12/12/24","20:52:25","","Event Gateway Disabled."
"Information","main","12/12/24","20:55:35","","Event Gateway Disabled."
"Information","main","12/13/24","16:47:53","","Event Gateway Disabled."
"Information","main","12/13/24","18:27:33","","Event Gateway Disabled."
"Information","main","12/13/24","18:29:05","","Event Gateway Disabled."
"Information","main","12/13/24","18:33:22","","Event Gateway Disabled."
"Information","main","12/13/24","20:16:32","","Event Gateway Disabled."
"Information","main","12/13/24","20:58:24","","Event Gateway Disabled."
"Information","main","12/16/24","13:04:57","","Event Gateway Disabled."
"Information","main","12/16/24","14:45:20","","Event Gateway Disabled."
"Information","main","12/16/24","16:14:51","","Event Gateway Disabled."
"Information","main","12/16/24","16:21:19","","Event Gateway Disabled."
"Information","main","12/16/24","20:32:44","","Event Gateway Disabled."
"Information","main","12/17/24","13:45:14","","Event Gateway Disabled."
